Modelo,Accuracy,Macro F1,Tiempo (s),Tipo,Mejora (%)
V-JEPA 2,0.7854014598540145,0.7063106564736109,0.0,Individual,0.0
DINOv2,0.7635036496350365,0.7219734661668377,0.0,Individual,-2.1897810218978075
Stacking,0.7580174927113703,0.6036547828068605,0.0027163028717041016,Heterogéneo,-2.738396714264424
Blending,0.7483588621444202,0.560633456742378,0.00498199462890625,Heterogéneo,-3.7042597709594394
Soft Voting,0.5153284671532846,0.44427998892292936,0.0015211105346679688,Homogéneo,-27.00729927007299
Hard Voting,0.48759124087591244,0.3697491399020069,0.002601146697998047,Homogéneo,-29.781021897810213
Weighted Voting,0.4029197080291971,0.34517247956061775,0.0005681514739990234,Homogéneo,-38.248175182481745
